epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.153093,0.5375,0.704267,0.5,0.001
2,0.668517,0.62,0.794698,0.505,0.000505
epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.73252,0.60125,0.707417,0.58,0.001
2,0.540312,0.73125,0.619053,0.67,0.00097577
3,0.412563,0.815,0.688478,0.727,0.00090546
4,0.326849,0.86275,0.507395,0.782,0.00079595
5,0.196998,0.92925,0.866511,0.741,0.00065796
6,0.115181,0.961,1.074014,0.783,0.000505
7,0.069481,0.976,1.255495,0.785,0.00035204
8,0.045843,0.98525,1.36764,0.769,0.00021405
9,0.027149,0.99075,1.478241,0.786,0.00010454
10,0.014048,0.995,1.543757,0.784,3.423e-05
epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.73252,0.60125,0.707417,0.58,0.001
2,0.536047,0.7425,0.538803,0.721,0.00099391
epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.73252,0.60125,0.707417,0.58,0.001
2,0.536047,0.7425,0.538803,0.721,0.00099391
3,0.42474,0.812,0.842212,0.696,0.00097577
4,0.313029,0.87875,0.480578,0.778,0.00094605
5,0.201627,0.92225,1.104469,0.759,0.00090546
6,0.11082,0.959,0.872797,0.759,0.00085502
7,0.101799,0.96375,0.882273,0.782,0.00079595
8,0.044137,0.98475,1.324757,0.768,0.00072973
9,0.036919,0.98675,1.581615,0.78,0.00065796
10,0.030208,0.9905,2.029208,0.781,0.00058244
11,0.01911,0.9945,2.012171,0.785,0.000505
12,0.015232,0.995,2.026311,0.789,0.00042756
13,0.009135,0.99625,2.08083,0.791,0.00035204
14,0.009535,0.99825,2.23014,0.786,0.00028027
15,0.003375,0.99875,2.341594,0.782,0.00021405
16,0.004115,0.9985,2.670534,0.776,0.00015498
17,0.004415,0.99925,2.467764,0.785,0.00010454
18,0.001097,0.99975,2.656719,0.781,6.395e-05
